"","V1","V2","V3"
"1",0.071,0.023,"1"
"2",-0.068,0.547,"1"
"3",0.139,0.071,"1"
"4",-0.304,-1.356,"1"
"5",0.145,0.080,"1"
"6",-0.166,-1.380,"1"
"7",0.205,-1.417,"1"
"8",0.214,0.221,"1"
"9",-0.557,0.654,"1"
"10",-1.117,-0.894,"1"
"11",1.462,-0.447,"1"
"12",1.503,-0.846,"1"
"13",0.845,-1.048,"1"
"14",1.780,-0.272,"1"
"15",-0.660,-1.032,"1"
"16",0.070,0.349,"1"
"17",0.074,0.022,"1"
"18",-0.478,-1.359,"1"
"19",0.122,-1.247,"1"
"20",0.926,-0.757,"1"
"21",-0.943,-0.384,"1"
"22",-0.501,-1.493,"1"
"23",0.196,0.207,"1"
"24",1.849,-0.073,"1"
"25",0.017,0.000,"1"
"26",-0.119,-1.344,"1"
"27",0.096,0.025,"1"
"28",0.892,-1.064,"1"
"29",0.068,-1.442,"1"
"30",-0.348,0.622,"1"
"31",0.139,0.079,"1"
"32",1.151,-0.727,"1"
"33",-0.527,0.444,"1"
"34",0.195,0.134,"1"
"35",0.047,0.464,"1"
"36",0.048,0.009,"1"
"37",0.827,-1.053,"1"
"38",-0.041,-0.959,"1"
"39",-0.587,0.497,"1"
"40",0.319,-1.759,"1"
"41",0.771,-1.301,"1"
"42",0.133,0.054,"1"
"43",1.904,-0.587,"1"
"44",-0.096,0.480,"1"
"45",-0.953,-0.170,"1"
"46",1.697,-0.638,"1"
"47",-0.548,0.544,"1"
"48",0.042,0.006,"1"
"49",0.121,0.171,"1"
"50",0.057,0.411,"1"
"51",1.564,-0.304,"1"
"52",0.866,-0.874,"1"
"53",-0.667,0.532,"1"
"54",0.665,-1.430,"1"
"55",-0.776,-0.826,"1"
"56",-1.202,0.087,"1"
"57",0.330,-1.509,"1"
"58",-0.217,0.496,"1"
"59",-0.135,-1.714,"1"
"60",0.243,-1.673,"1"
"61",0.186,0.153,"1"
"62",-0.954,-0.695,"1"
"63",-0.154,0.524,"1"
"64",-0.788,-0.675,"1"
"65",0.004,0.448,"1"
"66",-0.496,0.351,"1"
"67",-0.731,0.533,"1"
"68",0.125,0.359,"1"
"69",0.122,0.086,"1"
"70",-0.929,-0.737,"1"
"71",1.238,-0.770,"1"
"72",1.406,-0.295,"1"
"73",-0.150,0.514,"1"
"74",-0.065,0.583,"1"
"75",-0.162,0.530,"1"
"76",-0.607,-1.298,"1"
"77",0.585,-0.976,"1"
"78",-0.622,-0.930,"1"
"79",-0.891,0.470,"1"
"80",-0.555,0.735,"1"
"81",0.142,0.261,"1"
"82",-0.377,-1.506,"1"
"83",-1.152,-0.477,"1"
"84",0.287,-1.319,"1"
"85",-0.736,0.307,"1"
"86",0.151,0.093,"1"
"87",0.175,0.307,"1"
"88",-0.962,-0.136,"1"
"89",0.876,-1.136,"1"
"90",-0.183,0.574,"1"
"91",0.104,0.036,"1"
"92",-0.570,0.398,"1"
"93",0.138,0.256,"1"
"94",-0.506,-0.781,"1"
"95",0.093,0.430,"1"
"96",0.084,0.027,"1"
"97",0.218,-1.349,"1"
"98",0.139,0.066,"1"
"99",-0.032,0.437,"1"
"100",0.092,0.037,"1"
"101",-0.360,0.626,"1"
"102",0.100,0.416,"1"
"103",-0.357,-1.281,"1"
"104",0.113,0.050,"1"
"105",0.123,0.392,"1"
"106",-0.026,0.490,"1"
"107",0.126,0.291,"1"
"108",-0.025,0.595,"1"
"109",-0.092,0.499,"1"
"110",-0.574,0.665,"1"
"111",0.088,0.169,"1"
